category	FROM	TO	evidence	source
TF-miRNA	RUNX1T1	hsa-mir-223	Experimental	PMID20584335
TF-miRNA	JUN	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	BMP2	hsa-mir-24	Experimental	PMID20584335
TF-miRNA	BMP2	hsa-mir-31	Experimental	PMID20584335
TF-miRNA	BMP6	hsa-mir-21	Experimental	PMID20584335
TF-miRNA	BRCA1	hsa-mir-146a	Experimental	PMID20584335
TF-miRNA	BRCA1	hsa-mir-146b	Experimental	PMID20584335
TF-miRNA	CEBPA	hsa-mir-1	Experimental	PMID20584335
TF-miRNA	CCND1	hsa-mir-17	Experimental	PMID20584335
TF-miRNA	CCND1	hsa-mir-20a	Experimental	PMID20584335
TF-miRNA	MYB	hsa-mir-15a	Experimental	PMID20584335
TF-miRNA	CREB1	hsa-mir-132	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-106a	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-106b	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-17	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-18a	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-18b	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-19a	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-19b	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-20a	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-20b	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-25	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-363	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-92a	Experimental	PMID20584335
TF-miRNA	E2F1	hsa-mir-93	Experimental	PMID20584335
TF-miRNA	EGR1	hsa-mir-106a	Experimental	PMID20584335
TF-miRNA	EIF2C2	hsa-let-7a	Experimental	PMID20584335
TF-miRNA	EIF2C2	hsa-let-7b	Experimental	PMID20584335
TF-miRNA	EIF2C2	hsa-let-7c	Experimental	PMID20584335
TF-miRNA	EIF2C2	hsa-let-7d	Experimental	PMID20584335
