This file contains the disease spectrum width (DSW) data of miRNA.
miRNA DSW was defined by Qiu et al. (Qiu et al. Scientific Reports 2012 in press).
For one miRNA, i, 
DSW(i)=n(i)/N
where, n(i) is the number of diseases associated with miRNA i, N is the total number of diseases that have reported associated miRNAs.
DSW of a miRNA represents its role in human disease.

DSW in this file was calculated based on miRNA-disease data in HMDD (version March-15, 2012). We calculated DSW at the miRNA-gene level and at the merged-miRNA-gene (i.e. let-7a-1 and let-7a-2 are merged to let-7a) level, respectively.

Qinghua Cui, Ph.D
Associate Professor
Peking University
cuiqinghua@hsc.pku.edu.cn
March-16, 2012

--------------------------------
DSW data at the merged-miRNA-gene level

miRNA	DSW
hsa-mir-21	.328571428571429
hsa-mir-155	.211428571428571
hsa-mir-146a	.18
hsa-mir-17	.162857142857143
hsa-mir-20a	.151428571428571
hsa-mir-34a	.145714285714286
hsa-let-7a	.128571428571429
hsa-mir-1	.128571428571429
hsa-mir-92a	.125714285714286
hsa-mir-125b	.125714285714286
hsa-mir-18a	.125714285714286
hsa-mir-221	.122857142857143
hsa-mir-145	.122857142857143
hsa-mir-19b	.117142857142857
hsa-mir-16-1	.117142857142857
hsa-mir-126	.117142857142857
hsa-mir-29a	.114285714285714
hsa-mir-200b	.111428571428571
hsa-mir-143	.108571428571429
hsa-mir-19a	.108571428571429
hsa-mir-222	.105714285714286
hsa-mir-16-2	.105714285714286
hsa-mir-223	.102857142857143
hsa-mir-29b	.102857142857143
hsa-mir-199a	9.71428571428571E-02
hsa-mir-200c	9.71428571428571E-02
hsa-let-7b	9.71428571428571E-02
hsa-mir-181b	9.42857142857143E-02
hsa-mir-181a	9.42857142857143E-02
hsa-mir-133a	9.42857142857143E-02
hsa-mir-200a	9.14285714285714E-02
hsa-mir-146b	9.14285714285714E-02
hsa-let-7c	9.14285714285714E-02
hsa-let-7e	8.85714285714286E-02
hsa-mir-182	8.85714285714286E-02
hsa-mir-133b	8.85714285714286E-02
hsa-mir-15a	8.57142857142857E-02
hsa-let-7i	8.57142857142857E-02
hsa-let-7f	8.57142857142857E-02
hsa-let-7d	8.57142857142857E-02
hsa-mir-31	8.57142857142857E-02
