mirna	specific process
hsa-mir-17	immune system
hsa-mir-18a	immune system
hsa-mir-19a	immune system
hsa-mir-19b	immune system
hsa-mir-20a	immune system
hsa-mir-92a	immune system
hsa-mir-150	immune system
hsa-mir-155	immune system
hsa-mir-146	immune system
hsa-mir-181	immune system
hsa-mir-223	immune system
hsa-mir-106a	immune system
hsa-mir-18b	immune system
hsa-mir-20b	immune system
hsa-mir-363	immune system
hsa-mir-106b	immune system
hsa-mir-25	immune system
hsa-mir-93	immune system
hsa-mir-17	cell proliferation
hsa-mir-18a	cell proliferation
hsa-mir-19a	cell proliferation
hsa-mir-19b	cell proliferation
hsa-mir-20a	cell proliferation
hsa-mir-92a	cell proliferation
hsa-let-7a	anti-cell proliferation
hsa-let-7b	anti-cell proliferation
hsa-let-7c	anti-cell proliferation
hsa-let-7d	anti-cell proliferation
hsa-let-7e	anti-cell proliferation
hsa-let-7f	anti-cell proliferation
hsa-mir-98	anti-cell proliferation
hsa-let-7g	anti-cell proliferation
hsa-let-7i	anti-cell proliferation
hsa-mir-15a	anti-cell proliferation
hsa-mir-16	anti-cell proliferation
hsa-mir-155	Activation of caspases cascade
hsa-mir-144	Activation of caspases cascade
hsa-let-7c	Activation of caspases cascade
hsa-mir-10a	Activation of caspases cascade
hsa-mir-193	Activation of caspases cascade
hsa-mir-150	Activation of caspases cascade
hsa-mir-141	Akt pathway
hsa-mir-17	Akt pathway
hsa-mir-184	Akt pathway
hsa-mir-18a	Akt pathway
hsa-mir-19	Akt pathway
hsa-mir-196a	Akt pathway
hsa-mir-19a	Akt pathway
hsa-mir-19b	Akt pathway
hsa-mir-205	Akt pathway
hsa-mir-20a	Akt pathway
hsa-mir-214	Akt pathway
hsa-mir-221	Akt pathway
hsa-mir-222	Akt pathway
hsa-mir-26a	Akt pathway
hsa-mir-331	Akt pathway
hsa-mir-7	Akt pathway
hsa-mir-92a	Akt pathway
hsa-let-7b	Angiogenesis
hsa-let-7f	Angiogenesis
hsa-mir-122	Angiogenesis
hsa-mir-126	Angiogenesis
hsa-mir-130a	Angiogenesis
hsa-mir-150	Angiogenesis
hsa-mir-15a	Angiogenesis
hsa-mir-16	Angiogenesis
hsa-mir-17	Angiogenesis
hsa-mir-184	Angiogenesis
hsa-mir-18a	Angiogenesis
hsa-mir-19a	Angiogenesis
hsa-mir-19b	Angiogenesis
hsa-mir-205	Angiogenesis
hsa-mir-20a	Angiogenesis
hsa-mir-21	Angiogenesis
hsa-mir-221	Angiogenesis
hsa-mir-222	Angiogenesis
hsa-mir-27b	Angiogenesis
hsa-mir-296	Angiogenesis
hsa-mir-320	Angiogenesis
hsa-mir-34a	Angiogenesis
hsa-mir-378	Angiogenesis
hsa-mir-92a	Angiogenesis
hsa-let-7c	Apoptosis
hsa-let-7g	Apoptosis
hsa-mir-10a	Apoptosis
hsa-mir-138	Apoptosis
hsa-mir-144	Apoptosis
hsa-mir-146a	Apoptosis
hsa-mir-148a	Apoptosis
hsa-mir-150	Apoptosis
hsa-mir-155	Apoptosis
hsa-mir-15a	Apoptosis
hsa-mir-15b	Apoptosis
hsa-mir-16	Apoptosis
hsa-mir-17	Apoptosis
hsa-mir-181a	Apoptosis
hsa-mir-182	Apoptosis
hsa-mir-18a	Apoptosis
hsa-mir-19	Apoptosis
hsa-mir-193	Apoptosis
hsa-mir-195	Apoptosis
hsa-mir-19a	Apoptosis
hsa-mir-19b	Apoptosis
hsa-mir-204	Apoptosis
hsa-mir-20a	Apoptosis
hsa-mir-21	Apoptosis
hsa-mir-210	Apoptosis
hsa-mir-216	Apoptosis
hsa-mir-221	Apoptosis
hsa-mir-222	Apoptosis
hsa-mir-26a	Apoptosis
hsa-mir-27a	Apoptosis
hsa-mir-29a	Apoptosis
hsa-mir-29b	Apoptosis
hsa-mir-29c	Apoptosis
hsa-mir-34a	Apoptosis
hsa-mir-34b	Apoptosis
hsa-mir-34c	Apoptosis
hsa-mir-372	Apoptosis
hsa-mir-449a	Apoptosis
hsa-mir-449b	Apoptosis
hsa-mir-494	Apoptosis
hsa-mir-7	Apoptosis
hsa-mir-92a	Apoptosis
hsa-mir-96	Apoptosis
hsa-mir-9a	Apoptosis
hsa-let-7b	Bone regeneration
hsa-let-7d	Bone regeneration
hsa-mir-1	Bone regeneration
hsa-mir-128a	Bone regeneration
hsa-mir-130b	Bone regeneration
hsa-mir-143	Bone regeneration
hsa-mir-148b	Bone regeneration
hsa-mir-152	Bone regeneration
hsa-mir-153	Bone regeneration
hsa-mir-155	Bone regeneration
hsa-mir-17	Bone regeneration
hsa-mir-18b	Bone regeneration
hsa-mir-196	Bone regeneration
hsa-mir-19a	Bone regeneration
hsa-mir-20b	Bone regeneration
hsa-mir-210	Bone regeneration
hsa-mir-22	Bone regeneration
hsa-mir-221	Bone regeneration
hsa-mir-222	Bone regeneration
hsa-mir-23b	Bone regeneration
hsa-mir-24	Bone regeneration
hsa-mir-32	Bone regeneration
hsa-mir-337	Bone regeneration
hsa-mir-34c	Bone regeneration
hsa-mir-367	Bone regeneration
hsa-mir-368	Bone regeneration
hsa-mir-377	Bone regeneration
hsa-mir-422b	Bone regeneration
hsa-mir-424	Bone regeneration
hsa-mir-515	Bone regeneration
hsa-mir-520d	Bone regeneration
hsa-mir-7b	Bone regeneration
hsa-mir-92	Bone regeneration
hsa-mir-93	Bone regeneration
hsa-mir-1	Cardiogenesis
hsa-mir-133a	Cardiogenesis
hsa-mir-132	Cardiogenesis
hsa-let-7a	Cell cycle related
hsa-let-7b	Cell cycle related
hsa-let-7g	Cell cycle related
hsa-mir-1	Cell cycle related
hsa-mir-107	Cell cycle related
hsa-mir-122	Cell cycle related
hsa-mir-124	Cell cycle related
hsa-mir-124a	Cell cycle related
hsa-mir-125b	Cell cycle related
hsa-mir-138	Cell cycle related
hsa-mir-140	Cell cycle related
hsa-mir-141	Cell cycle related
hsa-mir-143	Cell cycle related
hsa-mir-145	Cell cycle related
hsa-mir-145	Cell cycle related
hsa-mir-15	Cell cycle related
hsa-mir-150	Cell cycle related
hsa-mir-155	Cell cycle related
hsa-mir-15a	Cell cycle related
hsa-mir-15b	Cell cycle related
hsa-mir-16	Cell cycle related
hsa-mir-17	Cell cycle related
hsa-mir-182	Cell cycle related
hsa-mir-185	Cell cycle related
hsa-mir-18a	Cell cycle related
hsa-mir-195	Cell cycle related
hsa-mir-196a	Cell cycle related
hsa-mir-19a	Cell cycle related
hsa-mir-19b	Cell cycle related
hsa-mir-200b	Cell cycle related
hsa-mir-200c	Cell cycle related
hsa-mir-205	Cell cycle related
hsa-mir-206	Cell cycle related
hsa-mir-20a	Cell cycle related
hsa-mir-21	Cell cycle related
hsa-mir-210	Cell cycle related
hsa-mir-221	Cell cycle related
hsa-mir-222	Cell cycle related
