EntrezID	miRNA	RegulatoryType
862	miR-223	Repression
3725	miR-21	Activation
3725	miR-21	Activation
650	miR-24	Activation
650	miR-31	Activation
654	miR-21	Repression
672	miR-146a	Activation
672	miR-146b	Activation
1050	miR-1	Activation
595	miR-17	Activation
595	miR-20a	Activation
4602	miR-15a	Activation
1385	miR-132	Activation
1869	miR-106a	Regulation
1869	miR-106b	Regulation
1869	miR-17	Activation
1869	miR-17	Regulation
1869	miR-18a	Activation
1869	miR-18b	Regulation
1869	miR-19a	Activation
1869	miR-19b	Activation
1869	miR-19b	Regulation
1869	miR-20a	Activation
1869	miR-20b	Regulation
1869	miR-25	Regulation
1869	miR-363	Regulation
1869	miR-92a	Activation
1869	miR-92a	Regulation
1869	miR-93	Regulation
1958	miR-106a	Regulation
27161	let-7a	Activation
27161	let-7b	Activation
27161	let-7c	Activation
27161	let-7d	Activation
27161	let-7e	Activation
27161	let-7f	Activation
27161	let-7g	Activation
27161	let-7i	Activation
2099	miR-21	Activation
50943	miR-155	Activation
50943	miR-155	Activation
6046	let-7a	Repression
6046	mir-143	Repression
6046	mir-15b	Repression
2623	miR-144	Activation
2623	miR-451	Activation
3091	miR-210	Activation
3159	miR-101	Activation
3159	miR-196a	Activation
3159	miR-29a	Activation
3159	miR-331	Activation
6927	miR-194	Activation
6927	miR-194	Regulation
3236	miR-7	Activation
3553	miR-146a	Activation
3553	miR-9	Activation
4005	miR-142	Repression
3664	miR-9	Activation
4204	miR-184	Repression
50804	miR-1	Activation
50804	miR-133a	Activation
4618	miR-1	Activation
4618	miR-133a	Activation
4618	miR-206	Activation
4617	miR-1	Activation
4617	miR-206	Activation
4609	let-7a	Repression
4609	let-7b	Repression
4609	let-7c	Repression
4609	let-7d	Repression
4609	let-7e	Repression
4609	let-7f	Repression
4609	let-7g	Repression
4609	let-7i	Repression
4609	miR-106a	Activation
4609	miR-15a	Repression
4609	miR-16	Repression
4609	miR-17	Activation
4609	miR-17	Activation
4609	miR-18a	Activation
4609	miR-18a	Activation
4609	miR-195	Repression
4609	miR-19a	Activation
4609	miR-19a	Activation
4609	miR-19b	Activation
4609	miR-19b	Activation
4609	miR-20a	Activation
4609	miR-20a	Activation
4609	miR-22	Repression
4609	miR-221	Activation
4609	miR-23a	Repression
4609	miR-23b	Repression
4609	miR-26a	Repression
4609	miR-26a	Repression
4609	miR-29a	Repression
4609	miR-29c	Repression
4609	miR-34a	Repression
4609	miR-92a	Activation
4609	miR-92a	Activation
4613	miR-106a	Activation
4613	miR-17	Activation
4613	miR-17	Activation
4613	miR-18a	Activation
4613	miR-18a	Activation
4613	miR-19a	Activation
4613	miR-19a	Activation
4613	miR-19b	Activation
4613	miR-19b	Activation
4613	miR-20a	Activation
4613	miR-20a	Activation
