gene	specific tissue
RP5-1068H6.1	Testis
CTD-2588J6.2	Testis
RP11-670E13.3	Small Intestine - Terminal Ileum
GTF2IP3	Testis
GTF2IP2	Testis
RP11-71J4.2	Testis
RP11-433M22.2	Testis
RPL7AP57	Testis
EMCN-IT3	Testis
EMCN-IT1	Testis
SLC6A6P1	Testis
AC009120.8	Testis
AC009120.4	Testis
RP4-697P8.3	Testis
RNF11B	Testis
OR2H4P	Testis
RP11-318C4.2	Testis
RP11-327I22.5	Testis
RP11-327I22.6	Testis
AP000867.14	Testis
RNU5B-1	Testis
AC103563.2	Testis
AC103563.3	Testis
AC009499.1	Testis
RP11-114J13.1	Testis
RP11-40F6.1	Testis
AC096582.8	Testis
RP11-506K19.2	Testis
RP11-146D12.5	Testis
TRHR	Pituitary
RP4-609E1.2	Testis
RP11-196D18.1	Testis
CA15P2	Testis
RP11-196D18.2	Testis
RP11-566K19.9	Testis
RP11-528A10.2	Testis
HRH4	Testis
TEX28P1	Testis
AC018462.2	Cells - EBV-transformed lymphocytes
IQCF5-AS1	Testis
AC007390.4	Testis
RP11-190P13.2	Testis
KCND3-IT1	Brain - Cerebellum	
RPS4XP2	Testis
RPS4XP3	Ovary
RP5-1051D14.1	Testis
RPS4XP4	Testis
AC005008.2	Testis
RP11-113D6.10	Testis
RP11-113D6.9	Testis
RP11-49K4.2	Testis
RAD21L1	Testis
SLC36A3	Testis
PGDP1	Testis
RP11-29H23.4	Testis
CTD-2647E9.1	Testis
RP11-1H15.2	Cells - Transformed fibroblasts
ART1	Muscle - Skeletal
HERC2P5	Testis
NACAP1	Testis
RP11-451H23.3	Testis
RP11-451H23.2	Testis
AP000473.6	Cervix - Endocervix
RP11-793I11.1	Testis
CTD-3116E22.6	Thyroid
CTSLP6	Testis
RP11-338O1.2	Testis
RP11-841C19.3	Testis
RP11-193H5.1	Testis
RBMXL3	Testis
RBMXL2	Testis
RP11-287F9.2	Testis
LINC01079	Pancreas
FRG2	Brain - Cerebellum
RP11-393N4.2	Testis
LINC01072	Testis
LINC01077	Cells - EBV-transformed lymphocytes
LINC01076	Testis
LINC01075	Testis
LINC01074	Testis
RP11-276H1.3	Testis
RP11-276H1.2	Testis
BRAFP1	Pituitary
RP11-46A10.2	Testis
RP11-223C24.2	Testis
HNRNPFP1	Testis
RP11-300J18.1	Testis
OR7E122P	Testis
RP11-366F6.2	Testis
RP11-716D16.1	Testis
RNU6-767P	Vagina
RP11-6I2.4	Muscle - Skeletal
HOMER2P1	Testis
AP003900.6	Testis
HOMER2P2	Testis
RP11-300M6.1	Testis
RP11-2N1.1	Testis
RP11-702H23.4	Thyroid
RP11-650J17.1	Testis
SAGE1	Testis
CYCTP	Testis
LINC00308	Testis
RP11-444D13.1	Testis
CTC-458A3.1	Prostate
LINC00303	Testis
LINC00301	Testis
LINC00307	Testis
