Amy1	Ctsz	0.21
Canx	Lipc	0.21
Hsd3B4	Pccb	0.081
Ywhae	Ywhag	0.196
Pgls	Uox	0.081
B7Zct1	Hmga2	0.126
A6H663	Hmga2	0.126
Gpi	Parp14	0.671
Igfbp2	Ywhae	0.081
Eed	Snx6	0.126
Hmga2	Ndufa9	0.126
Pgls	Psma1	0.081
Sf1	Ywhae	0.081
Atf2	Mapk11	0.033
Atp5D	Invs	0.126
Eed	Rpn1	0.126
Ift80	Ift88	0.21
Triobp	Ywhae	0.081
Actb	Pgls	0.081
Stx4	Stxbp3	0.507
Eed	Usp21	0.126
Per1	Tlx3	0.183
Tfcp2L1	Wdr5	0.236
Eed	Pspc1	0.126
Ces1F	Pgls	0.081
Cps1	Sirt5	0.507
Csnk1E	Csnk1E	0.21
Psmd4	Ubc	0.523
Catsper1	Hspa2	0.21
Etfa	Ywhae	0.081
Tenc1	Ywhae	0.081
Tcf3	Ubb	0.126
Chchd6	Ywhab	0.081
Csnk1A1	Nanog	0.126
Col3A1	Smad3	0.21
Grb2	Plcg1	0.21
Dnmt3L	Pou5F1	0.236
Matr3	Ywhae	0.081
Akt2	Clip3	0.376
C4B	Ywhae	0.081
Dmrtc2	Ivns1Abp	0.183
Acsf2	Pgls	0.081
Tubb3	Ywhaz	0.126
Vapb	Ywhaz	0.081
Cenpc	Chd5	0.126
Eif3I	Lmna	0.21
Dlg4	Nxph3	0.236
Hdac1	Tcf7L2	0.21
Mybbp1A	Nanog	0.332
Icam1	Rdx	0.309
Cbfb	Hmga2	0.126
Ahcyl1	Ywhae	0.081
Hsd3B4	Hsp90B1	0.081
Hdac1	Sin3B	0.692
Cask	Ywhae	0.081
Grin2B	Syt1	0.126
Cct7	Ywhab	0.081
Gda	Ywhae	0.081
Arntl	Usp2	0.61
Cul4A	Rbx1	0.376
Ago1	Trim32	0.61
Eed	Utp18	0.126
Gapdh	Pgls	0.081
Prkab1	Prkag1	0.659
Trpm7	Ttc28	0.126
Rnf2	Thoc6	0.236
Rpa1	Tfcp2L1	0.236
Apoa2	Ywhaz	0.081
Erc1	Ywhab	0.081
Tle1	Tle1	0.396
L1Cam	Ywhae	0.081
Bcl9L	Dvl2	0.126
Pdzk1	Slc34A1	0.454
Ahi1	Cc2D2A	0.236
Dnmt3A	Nr6A1	0.376
Cul3	Hp1Bp3	0.21
Chchd3	Prkce	0.126
Alyref2	Ywhae	0.081
Hspbp1	Ywhae	0.081
Syk	Tnfrsf1A	0.21
Hmga2	Myl3	0.126
Cct2	Mkks	0.126
Fbxo32	Mybph	0.126
Coro1B	Eed	0.126
Btrc	Nfe2L2	0.837
Eed	Zc3H11A	0.126
Hbz	Ywhae	0.081
Ncl	Tpt1	0.659
Inpp5A	Ywhae	0.081
Nanog	Znf281	0.765
Lgals9	Pgls	0.081
Olig2	Smarca4	0.21
Calm3	Iqcb1	0.236
Ppp1R9B	Ywhaz	0.126
Mri1	Ywhae	0.081
Hspd1	Kcnma1	0.332
Cyp3A11	Ywhae	0.081
Mafg	Nfe2	0.309
Eif3G	Paip1	0.21
Camk2A	Cdk5	0.21
Sox2	Znf24	0.126
Hsd3B4	Rpl3	0.081
Capns1	Eed	0.126
Ppl	Vim	0.569
Rnf2	Tfdp1	0.236
Tars	Ywhae	0.081
Atp7A	Sod3	0.21
Limd1	Ywhah	0.126
Ndn	Rcbtb2	0.183
Gusb	Ywhae	0.081
Farsa	Ubc	0.126
Foxp3	Gata3	0.236
Kcnma1	Mbp	0.332
Foxo1	Nr0B2	0.21
Gria2	Naca	0.126
