gene	specific process	GOterm	function
4933415F23Rik	immune system	GO:0045087	 innate immune response 
Abl1	immune system	GO:0045087	 innate immune response 
Abl2	immune system	GO:0045087	 innate immune response 
Acod1	immune system	GO:0002376	 immune system process 
Acod1	immune system	GO:0045087	 innate immune response 
Adam15	immune system	GO:0045087	 innate immune response 
Adar	immune system	GO:0002376	 immune system process 
Adar	immune system	GO:0045087	 innate immune response 
Adgre1	immune system	GO:0002250	 adaptive immune response 
Adgre1	immune system	GO:0002376	 immune system process 
Ahr	immune system	GO:0002376	 immune system process 
Aim2	immune system	GO:0002376	 immune system process 
Aim2	immune system	GO:0045087	 innate immune response 
Akap8	immune system	GO:0002376	 immune system process 
Akap8	immune system	GO:0045087	 innate immune response 
Akirin2	immune system	GO:0002376	 immune system process 
Akirin2	immune system	GO:0045087	 innate immune response 
Alcam	immune system	GO:0002250	 adaptive immune response 
Alcam	immune system	GO:0002376	 immune system process 
Amica1	immune system	GO:0002376	 immune system process 
Ang	immune system	GO:0045087	 innate immune response 
Ang4	immune system	GO:0045087	 innate immune response 
Ankhd1	immune system	GO:0045087	 innate immune response 
Ankrd17	immune system	GO:0002376	 immune system process 
Ankrd17	immune system	GO:0045087	 innate immune response 
Anxa1	immune system	GO:0002250	 adaptive immune response 
Anxa1	immune system	GO:0002376	 immune system process 
Anxa1	immune system	GO:0045087	 innate immune response 
Apcs	immune system	GO:0045087	 innate immune response 
Apobec3	immune system	GO:0002376	 immune system process 
Apobec3	immune system	GO:0045087	 innate immune response 
Arhgef2	immune system	GO:0002376	 immune system process 
Arhgef2	immune system	GO:0045087	 innate immune response 
Atg12	immune system	GO:0002376	 immune system process 
Atg12	immune system	GO:0045087	 innate immune response 
Atg5	immune system	GO:0002376	 immune system process 
Atg5	immune system	GO:0045087	 innate immune response 
Atg9a	immune system	GO:0045087	 innate immune response 
Atm	immune system	GO:0002376	 immune system process 
Axl	immune system	GO:0002376	 immune system process 
Axl	immune system	GO:0045087	 innate immune response 
B2m	immune system	GO:0002376	 immune system process 
B2m	immune system	GO:0045087	 innate immune response 
Bag6	immune system	GO:0002376	 immune system process 
Bcl10	immune system	GO:0002250	 adaptive immune response 
Bcl10	immune system	GO:0002376	 immune system process 
Bcl6	immune system	GO:0002376	 immune system process 
Blk	immune system	GO:0045087	 innate immune response 
Bmx	immune system	GO:0045087	 innate immune response 
Bpifa1	immune system	GO:0002376	 immune system process 
Bpifa1	immune system	GO:0045087	 innate immune response 
Bpifb1	immune system	GO:0002376	 immune system process 
Bpifb1	immune system	GO:0045087	 innate immune response 
Bpifb3	immune system	GO:0045087	 innate immune response 
Bst2	immune system	GO:0002376	 immune system process 
Bst2	immune system	GO:0045087	 innate immune response 
Btk	immune system	GO:0002250	 adaptive immune response 
Btk	immune system	GO:0002376	 immune system process 
Btk	immune system	GO:0045087	 innate immune response 
Btla	immune system	GO:0002250	 adaptive immune response 
Btla	immune system	GO:0002376	 immune system process 
C1qa	immune system	GO:0002376	 immune system process 
C1qa	immune system	GO:0045087	 innate immune response 
C1qb	immune system	GO:0002376	 immune system process 
C1qb	immune system	GO:0045087	 innate immune response 
C1qbp	immune system	GO:0002250	 adaptive immune response 
