mirna	specific process
mmu-mir-17	immune system
mmu-mir-18a	immune system
mmu-mir-19a	immune system
mmu-mir-19b	immune system
mmu-mir-20a	immune system
mmu-mir-92a	immune system
mmu-mir-150	immune system
mmu-mir-155	immune system
mmu-mir-146	immune system
mmu-mir-181	immune system
mmu-mir-223	immune system
mmu-mir-106a	immune system
mmu-mir-18b	immune system
mmu-mir-20b	immune system
mmu-mir-363	immune system
mmu-mir-106b	immune system
mmu-mir-25	immune system
mmu-mir-93	immune system
mmu-mir-17	cell proliferation
mmu-mir-18a	cell proliferation
mmu-mir-19a	cell proliferation
mmu-mir-19b	cell proliferation
mmu-mir-20a	cell proliferation
mmu-mir-92a	cell proliferation
mmu-let-7a	anti-cell proliferation
mmu-let-7b	anti-cell proliferation
mmu-let-7c	anti-cell proliferation
mmu-let-7d	anti-cell proliferation
mmu-let-7e	anti-cell proliferation
mmu-let-7f	anti-cell proliferation
mmu-mir-98	anti-cell proliferation
mmu-let-7g	anti-cell proliferation
mmu-let-7i	anti-cell proliferation
mmu-mir-15a	anti-cell proliferation
mmu-mir-16	anti-cell proliferation
mmu-mir-155	Activation of caspases cascade
mmu-mir-144	Activation of caspases cascade
mmu-let-7c	Activation of caspases cascade
mmu-mir-10a	Activation of caspases cascade
mmu-mir-193	Activation of caspases cascade
mmu-mir-150	Activation of caspases cascade
mmu-mir-141	Akt pathway
mmu-mir-17	Akt pathway
mmu-mir-184	Akt pathway
mmu-mir-18a	Akt pathway
mmu-mir-19	Akt pathway
mmu-mir-196a	Akt pathway
mmu-mir-19a	Akt pathway
mmu-mir-19b	Akt pathway
mmu-mir-205	Akt pathway
mmu-mir-20a	Akt pathway
mmu-mir-214	Akt pathway
mmu-mir-221	Akt pathway
mmu-mir-222	Akt pathway
mmu-mir-26a	Akt pathway
mmu-mir-331	Akt pathway
mmu-mir-7	Akt pathway
mmu-mir-92a	Akt pathway
mmu-let-7b	Angiogenesis
mmu-let-7f	Angiogenesis
mmu-mir-122	Angiogenesis
mmu-mir-126	Angiogenesis
mmu-mir-130a	Angiogenesis
mmu-mir-150	Angiogenesis
mmu-mir-15a	Angiogenesis
mmu-mir-16	Angiogenesis
mmu-mir-17	Angiogenesis
mmu-mir-184	Angiogenesis
mmu-mir-18a	Angiogenesis
mmu-mir-19a	Angiogenesis
mmu-mir-19b	Angiogenesis
mmu-mir-205	Angiogenesis
mmu-mir-20a	Angiogenesis
mmu-mir-21	Angiogenesis
mmu-mir-221	Angiogenesis
mmu-mir-222	Angiogenesis
mmu-mir-27b	Angiogenesis
mmu-mir-296	Angiogenesis
mmu-mir-320	Angiogenesis
mmu-mir-34a	Angiogenesis
mmu-mir-378	Angiogenesis
mmu-mir-92a	Angiogenesis
mmu-let-7c	Apoptosis
mmu-let-7g	Apoptosis
mmu-mir-10a	Apoptosis
mmu-mir-138	Apoptosis
mmu-mir-144	Apoptosis
mmu-mir-146a	Apoptosis
mmu-mir-148a	Apoptosis
mmu-mir-150	Apoptosis
mmu-mir-155	Apoptosis
mmu-mir-15a	Apoptosis
mmu-mir-15b	Apoptosis
mmu-mir-16	Apoptosis
mmu-mir-17	Apoptosis
mmu-mir-181a	Apoptosis
mmu-mir-182	Apoptosis
mmu-mir-18a	Apoptosis
mmu-mir-19	Apoptosis
mmu-mir-193	Apoptosis
mmu-mir-195	Apoptosis
mmu-mir-19a	Apoptosis
mmu-mir-19b	Apoptosis
mmu-mir-204	Apoptosis
mmu-mir-20a	Apoptosis
mmu-mir-21	Apoptosis
mmu-mir-210	Apoptosis
mmu-mir-216	Apoptosis
mmu-mir-221	Apoptosis
mmu-mir-222	Apoptosis
mmu-mir-26a	Apoptosis
mmu-mir-27a	Apoptosis
mmu-mir-29a	Apoptosis
mmu-mir-29b	Apoptosis
mmu-mir-29c	Apoptosis
mmu-mir-34a	Apoptosis
mmu-mir-34b	Apoptosis
mmu-mir-34c	Apoptosis
mmu-mir-372	Apoptosis
mmu-mir-449a	Apoptosis
mmu-mir-449b	Apoptosis
mmu-mir-494	Apoptosis
mmu-mir-7	Apoptosis
mmu-mir-92a	Apoptosis
mmu-mir-96	Apoptosis
mmu-mir-9a	Apoptosis
mmu-let-7b	Bone regeneration
mmu-let-7d	Bone regeneration
mmu-mir-1	Bone regeneration
mmu-mir-128a	Bone regeneration
mmu-mir-130b	Bone regeneration
mmu-mir-143	Bone regeneration
mmu-mir-148b	Bone regeneration
mmu-mir-152	Bone regeneration
mmu-mir-153	Bone regeneration
mmu-mir-155	Bone regeneration
mmu-mir-17	Bone regeneration
mmu-mir-18b	Bone regeneration
mmu-mir-196	Bone regeneration
mmu-mir-19a	Bone regeneration
mmu-mir-20b	Bone regeneration
mmu-mir-210	Bone regeneration
mmu-mir-22	Bone regeneration
mmu-mir-221	Bone regeneration
mmu-mir-222	Bone regeneration
mmu-mir-23b	Bone regeneration
mmu-mir-24	Bone regeneration
mmu-mir-32	Bone regeneration
mmu-mir-337	Bone regeneration
mmu-mir-34c	Bone regeneration
mmu-mir-367	Bone regeneration
mmu-mir-368	Bone regeneration
mmu-mir-377	Bone regeneration
mmu-mir-422b	Bone regeneration
mmu-mir-424	Bone regeneration
mmu-mir-515	Bone regeneration
mmu-mir-520d	Bone regeneration
mmu-mir-7b	Bone regeneration
mmu-mir-92	Bone regeneration
mmu-mir-93	Bone regeneration
mmu-mir-1	Cardiogenesis
mmu-mir-133a	Cardiogenesis
mmu-mir-132	Cardiogenesis
mmu-let-7a	Cell cycle related
mmu-let-7b	Cell cycle related
mmu-let-7g	Cell cycle related
mmu-mir-1	Cell cycle related
mmu-mir-107	Cell cycle related
mmu-mir-122	Cell cycle related
mmu-mir-124	Cell cycle related
mmu-mir-124a	Cell cycle related
mmu-mir-125b	Cell cycle related
mmu-mir-138	Cell cycle related
mmu-mir-140	Cell cycle related
mmu-mir-141	Cell cycle related
mmu-mir-143	Cell cycle related
mmu-mir-145	Cell cycle related
mmu-mir-145	Cell cycle related
mmu-mir-15	Cell cycle related
mmu-mir-150	Cell cycle related
mmu-mir-155	Cell cycle related
mmu-mir-15a	Cell cycle related
mmu-mir-15b	Cell cycle related
mmu-mir-16	Cell cycle related
mmu-mir-17	Cell cycle related
mmu-mir-182	Cell cycle related
mmu-mir-185	Cell cycle related
mmu-mir-18a	Cell cycle related
mmu-mir-195	Cell cycle related
mmu-mir-196a	Cell cycle related
mmu-mir-19a	Cell cycle related
mmu-mir-19b	Cell cycle related
mmu-mir-200b	Cell cycle related
mmu-mir-200c	Cell cycle related
mmu-mir-205	Cell cycle related
mmu-mir-206	Cell cycle related
mmu-mir-20a	Cell cycle related
mmu-mir-21	Cell cycle related
mmu-mir-210	Cell cycle related
mmu-mir-221	Cell cycle related
mmu-mir-222	Cell cycle related
mmu-mir-223	Cell cycle related
mmu-mir-24	Cell cycle related
mmu-mir-27a	Cell cycle related
mmu-mir-27b	Cell cycle related
mmu-mir-29b	Cell cycle related
mmu-mir-31	Cell cycle related
mmu-mir-320	Cell cycle related
mmu-mir-331	Cell cycle related
mmu-mir-33b	Cell cycle related
mmu-mir-34	Cell cycle related
mmu-mir-34a	Cell cycle related
mmu-mir-34b	Cell cycle related
mmu-mir-34c	Cell cycle related
mmu-mir-372	Cell cycle related
mmu-mir-372	Cell cycle related
mmu-mir-373	Cell cycle related
mmu-mir-376b	Cell cycle related
mmu-mir-424	Cell cycle related
mmu-mir-449	Cell cycle related
mmu-mir-449a	Cell cycle related
mmu-mir-449b	Cell cycle related
mmu-mir-494	Cell cycle related
mmu-mir-499	Cell cycle related
mmu-mir-503	Cell cycle related
mmu-mir-9	Cell cycle related
mmu-mir-92	Cell cycle related
mmu-mir-92a	Cell cycle related
mmu-mir-92b	Cell cycle related
mmu-mir-96	Cell cycle related
mmu-mir-98	Cell cycle related
mmu-mir-1	Cell differentiation
mmu-mir-124a	Cell differentiation
mmu-mir-127	Cell differentiation
mmu-mir-143	Cell differentiation
mmu-mir-145	Cell differentiation
mmu-mir-150	Cell differentiation
mmu-mir-155	Cell differentiation
mmu-mir-15a	Cell differentiation
mmu-mir-16	Cell differentiation
mmu-mir-18	Cell differentiation
mmu-mir-194	Cell differentiation
mmu-mir-206	Cell differentiation
mmu-mir-210	Cell differentiation
mmu-mir-222	Cell differentiation
mmu-mir-34a	Cell differentiation
mmu-mir-424	Cell differentiation
mmu-mir-503	Cell differentiation
mmu-let-7	Cell proliferation
mmu-let-7c	Cell proliferation
