gene	specific tissue
1700006E09Rik	Testis
4933427I04Rik	Testis
Gm7568	Testis
Pip5k1bos	Testis
8030423F21Rik	Limb
4930556J24Rik	Testis
Gm9573	Genital Adipose
Prph2	Testis
Drd3	Colon
4930571N24Rik	Testis
4933402J07Rik	Testis
Gm14154	Testis
Gm12478	Testis
Olfr975	Testis
Gm14152	Testis
Gm11657	Testis
Gm15317	Placenta
Gm11492	Testis
Gm11491	Testis
Mixl1	Placenta
Speer4f1	Testis
Trdv4	Bladder
4933427E13Rik	Testis
1700116B05Rik	Testis
4933426K07Rik	Testis
4930550L24Rik	Testis
Kif16bos	Testis
Gm15558	Thymus
Trav5-1	Thymus
Gm16208	Testis
Slmapos2	Testis
Gm4861	Genital Adipose
Gm16976	Testis
Gm4868	Testis
Smok3b	Testis
4930469K13Rik	Testis
Zswim2	Testis
Gm853	Kidney
Tex13a	Testis
Gm12305	Thymus
Scpep1os	Testis
1700047A11Rik	Testis
Gm25777	Whole Brain
4933406J08Rik	Testis
4932414J04Rik	Testis
1700120E14Rik	Testis
Lrit1	Liver
Gm12786	Testis
Gm16153	Central Nervous System
Il17f	Central Nervous System
Gm16156	Spleen
1700061J23Rik	Testis
Speer4d	Testis
Speer4e	Testis
Gm16158	Testis
Gm16159	Testis
Speer4a	Testis
Speer4b	Testis
Speer4c	Testis
Cma2	Small Intestine
Trav3-4	Thymus
Spanxn4	Testis
Spint4	Genital Adipose
Spint5	Genital Adipose
4931429L15Rik	Testis
Srrm3os	Testis
Prkag2os1	Testis
Gm1758	Testis
Slc25a54	Testis
Trav15-2-dv6-2	Thymus
Parvaos	Bladder
Nipsnap3a	Testis
4930570N18Rik	Testis
Tmem207	Kidney
Ctag2	Testis
Gm13324	Testis
Iltifb	Cerebellum
4930465M20Rik	Testis
Nron	Thymus
4921513I03Rik	Testis
Pabpn1l	Ovary
Gm16556	Liver
Gm16554	Genital Adipose
Gm16555	Testis
4933412E24Rik	Testis
Fgf20	Adrenal Gland
Kdm6bos	Testis
