TF0000915	ENSRNOT00000026662	STAT5A	GS0014442	ENSRNOG00000012052	1	258001134	258001684	Rattus norvegicus	Diabetes	8776725	
TF0000916	ENSRNOG00000004642	RAT_LMX1A	GS0014442	ENSRNOG00000012052	1	258001134	258001684	Rattus norvegicus	Diabetes	1358758	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT  
TF0000917	ENSMUST00000049089	TWIST1	GS0014442	ENSRNOG00000012052	1	258001134	258001684	Rattus norvegicus	Diabetes	12663487	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000919	ENST00000305883	KLF11	GS0014458	ENSG00000139515	13	28494157	28499394	Homo sapiens	Diabetes	19843526	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000919	ENST00000305883	KLF11	GS0014458	ENSG00000139515	13	28494157	28499394	Homo sapiens	Diabetes	19843526	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014462	ENSMUSG00000022938	16	97692657	97726543	Mus musculus	Diabetes	18708173	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT  
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014462	ENSMUSG00000022938	16	97692657	97726543	Mus musculus	Diabetes	18708173	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT  
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014462	ENSMUSG00000022938	16	97692657	97726543	Mus musculus	Diabetes	18708173	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT  
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014462	ENSMUSG00000022938	16	97692657	97726543	Mus musculus	Diabetes	18708173	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014462	ENSMUSG00000022938	16	97692657	97726543	Mus musculus	Diabetes	18708173	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	17150967	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	17150967	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014486	ENSRNOG00000006306	10	84732647	84740798	Rattus norvegicus	Diabetes	15486225	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	11590182	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014490	ENSMUSG00000000215	7	149864561	149885415	Mus musculus	Diabetes	12426319	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014495	ENSMUSG00000026398	1	138740161	138857004	Mus musculus	Diabetes	12972592	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014496	ENSG00000116833	1	199996730	200146552	Homo sapiens	Diabetes	12972592	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014496	ENSG00000116833	1	199996730	200146552	Homo sapiens	Diabetes	12972592	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014496	ENSG00000116833	1	199996730	200146552	Homo sapiens	Diabetes	12972592	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014496	ENSG00000116833	1	199996730	200146552	Homo sapiens	Diabetes	12972592	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014497	ENSMUSG00000040929	19	27836211	28085656	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014498	ENSMUSG00000038267	13	34271027	34437051	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014499	ENSMUSG00000024044	17	69506150	69639325	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014500	ENSMUSG00000031007	X	12164927	12194175	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014501	ENSMUSG00000041235	4	8617553	8794806	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014502	ENSMUSG00000038462	13	30632177	30637231	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014503	ENSMUSG00000060969	13	72095680	72101171	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014493	ENSMUSG00000034701	2	79292678	79296908	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014504	ENSMUSG00000022354	15	58765365	58771044	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014505	ENSMUSG00000026721	1	162149305	162723069	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014506	ENSMUSG00000003623	5	8966033	8997324	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014507	ENSMUSG00000030657	7	124524493	124811265	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014508	ENSMUSG00000006218	4	140924135	140940090	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014491	ENSMUSG00000027434	2	147003284	147019979	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014509	ENSMUSG00000058897	3	129883809	130302795	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014510	ENSMUSG00000034936	11	101526855	101529146	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014511	ENSMUSG00000038909	11	95135573	95171560	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014512	ENSMUSG00000030521	7	71521427	71537154	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014513	ENSMUSG00000025950	1	65205190	65233053	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014514	ENSMUSG00000053553	5	139835693	139936456	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014515	ENSMUSG00000033124	1	75177440	75188497	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014516	ENSMUSG00000040843	1	167145053	167167074	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014517	ENSMUSG00000051276	4	154040537	154041976	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014518	ENSMUSG00000051951	1	3195982	3661579	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014519	ENSMUSG00000062527	1	175060331	175061367	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014520	ENSMUSG00000041757	1	135142674	135200012	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014521	ENSMUSG00000046879	11	48675470	48685185	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014522	ENSMUSG00000011832	8	4166567	4208046	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014523	ENSMUSG00000029120	5	37259752	37346317	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014524	ENSMUSG00000061887	4	106583306	106722299	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014525	ENSMUSG00000073072	6	50796523	50828078	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014526	ENSMUSG00000022270	15	25773019	25903442	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014527	ENSMUSG00000061143	3	51491533	51908813	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014528	ENSMUSG00000075184	10	43313233	43350722	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014529	ENSMUSG00000051177	2	134611895	135300994	Mus musculus	Diabetes	17761679	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	14701942	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000921	ENSMUST00000085591	PDX1_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	14701942	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000922	ENSMUST00000064795	EGR1_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	17150967	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000922	ENSMUST00000064795	EGR1_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	17150967	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000922	ENSMUST00000064795	EGR1_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	17150967	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000922	ENSMUST00000064795	EGR1_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	17150967	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000925	ENSMUST00000031535	HNF1A_MOUSE	GS0014458	ENSG00000139515	13	28494157	28499394	Homo sapiens	Diabetes	11590182	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014489	ENSMUSG00000035804	19	52338813	52339946	Mus musculus	Diabetes	12426319	
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	14701942	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014490	ENSMUSG00000000215	7	149864561	149885415	Mus musculus	Diabetes	12426319	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	16147997	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014490	ENSMUSG00000000215	7	149864561	149885415	Mus musculus	Diabetes	16147997	
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	16147997	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
