TF0000515	FBtr0085558	SRY-DELTA_FLY	GS0001005	FBgn0000166	-	-	-	Drosophila melanogaster	ORegAnno	9154812	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000516	FBtr0088432	DEF_FLY	GS0001007	FBgn0010381	-	-	-	Drosophila melanogaster	ORegAnno	10409696	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000516	FBtr0088432	DEF_FLY	GS0001007	FBgn0010381	-	-	-	Drosophila melanogaster	ORegAnno	10409696	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000516	FBtr0088432	DEF_FLY	GS0001007	FBgn0010381	-	-	-	Drosophila melanogaster	ORegAnno	10409696	SEQUENCE CONSERVATION::CO-EXPRESSED GENE CONSERVATION
TF0000517	FBtr0089341	REL_FLY	GS0001007	FBgn0010381	-	-	-	Drosophila melanogaster	ORegAnno	10409696	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000517	FBtr0089341	REL_FLY	GS0001007	FBgn0010381	-	-	-	Drosophila melanogaster	ORegAnno	10409696	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000517	FBtr0089341	REL_FLY	GS0001007	FBgn0010381	-	-	-	Drosophila melanogaster	ORegAnno	10409696	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000517	FBtr0089341	REL_FLY	GS0001007	FBgn0010381	-	-	-	Drosophila melanogaster	ORegAnno	10409696	SEQUENCE CONSERVATION::CO-EXPRESSED GENE CONSERVATION
TF0000518	FBtr0088866	OPTIX_FLY	GS0001010	FBgn0005558	-	-	-	Drosophila melanogaster	ORegAnno	16533912	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000519	FBtr0079855	GCM_FLY	GS0001012	FBgn0011701	-	-	-	Drosophila melanogaster	ORegAnno	8962155	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000519	FBtr0079855	GCM_FLY	GS0001012	FBgn0011701	-	-	-	Drosophila melanogaster	ORegAnno	8962155	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000519	FBtr0079855	GCM_FLY	GS0001012	FBgn0011701	-	-	-	Drosophila melanogaster	ORegAnno	8962155	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000519	FBtr0079855	GCM_FLY	GS0001012	FBgn0011701	-	-	-	Drosophila melanogaster	ORegAnno	8962155	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000519	FBtr0079855	GCM_FLY	GS0001012	FBgn0011701	-	-	-	Drosophila melanogaster	ORegAnno	8962155	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000519	FBtr0079855	GCM_FLY	GS0001012	FBgn0011701	-	-	-	Drosophila melanogaster	ORegAnno	8962155	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000519	FBtr0079855	GCM_FLY	GS0001012	FBgn0011701	-	-	-	Drosophila melanogaster	ORegAnno	8962155	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000519	FBtr0079855	GCM_FLY	GS0001012	FBgn0011701	-	-	-	Drosophila melanogaster	ORegAnno	8962155	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000520	FBtr0070346	USP_FLY	GS0001014	FBgn0000355	-	-	-	Drosophila melanogaster	ORegAnno	1280827	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000521	FBtr0076944	VVL_FLY	GS0001016	FBgn0003425	-	-	-	Drosophila melanogaster	ORegAnno	10844029	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000522	FBtr0075746	D_FLY	GS0001016	FBgn0003425	-	-	-	Drosophila melanogaster	ORegAnno	10844029	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000523	FBtr0089236	EY_FLY	GS0001019	FBgn0000320	-	-	-	Drosophila melanogaster	ORegAnno	16533912	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000523	FBtr0089236	EY_FLY	GS0001272	FBgn0003390	-	-	-	Drosophila melanogaster	ORegAnno	16533912	REPORTER GENE ASSAY::IN-VIVO GFP EXPRESSION ASSAY
TF0000524	ENSDART00000029823	IFN_DRERIO	GS0001021	ENSDARG00000021688	1	6488341	6496206	Danio rerio	ORegAnno	14698216	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000524	ENSDART00000029823	IFN_DRERIO	GS0001021	ENSDARG00000021688	1	6488341	6496206	Danio rerio	ORegAnno	14698216	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000524	ENSDART00000029823	IFN_DRERIO	GS0001021	ENSDARG00000021688	1	6488341	6496206	Danio rerio	ORegAnno	14698216	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000524	ENSDART00000029823	IFN_DRERIO	GS0001021	ENSDARG00000021688	1	6488341	6496206	Danio rerio	ORegAnno	14698216	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001025	ENSG00000023287	8	53535016	53658403	Homo sapiens	ORegAnno	15618023	UNKNOWN::UNKNOWN
TF0000526	ENST00000327443	SP1_HUMAN	GS0001025	ENSG00000023287	8	53535016	53658403	Homo sapiens	ORegAnno	15618023	UNKNOWN::UNKNOWN
TF0000526	ENST00000327443	SP1_HUMAN	GS0001037	ENSG00000087085	7	100487615	100494594	Homo sapiens	ORegAnno	7829523	UNKNOWN::UNKNOWN
TF0000526	ENST00000327443	SP1_HUMAN	GS0001037	ENSG00000087085	7	100487615	100494594	Homo sapiens	ORegAnno	7829523	UNKNOWN::UNKNOWN
TF0000526	ENST00000327443	SP1_HUMAN	GS0001037	ENSG00000087085	7	100487615	100494594	Homo sapiens	ORegAnno	7829523	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001054	ENSG00000112715	6	43737921	43754224	Homo sapiens	ORegAnno	15970595	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001054	ENSG00000112715	6	43737921	43754224	Homo sapiens	ORegAnno	15970595	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
