system_id	protein_symbol	swiss_prot_ac	tf_type	gene_symbol	entrez_gene_id	pathway
HsTF000001	Putative RNA exonuclease NEF-sp	Q96IC2	beta-	44M2.3	81691	http://www.genome.jp/dbget-bin/www_bget?hsa:81691
HsTF000002	Ataxin-2-binding protein 1	Q9NWB1	beta-	A2BP1	54715	http://www.genome.jp/dbget-bin/www_bget?hsa:54715
HsTF000003	Aladin	Q9NRG9	beta-	AAAS	8086	http://www.genome.jp/dbget-bin/www_bget?hsa:8086
HsTF000004	Angio-associated migratory cell protein	Q13685	beta-	AAMP	14	http://www.genome.jp/dbget-bin/www_bget?hsa:14
HsTF000005	Serotonin N-acetyltransferase	Q16613	beta-	AANAT	15	http://www.genome.jp/dbget-bin/www_bget?hsa:15
HsTF000006	Actin-binding LIM protein 1	O14639	beta-	ABLIM1	3983	http://www.genome.jp/dbget-bin/www_bget?hsa:3983
HsTF000007	Actin-binding LIM protein 2	Q6H8Q1	beta-	ABLIM2	84448	http://www.genome.jp/dbget-bin/www_bget?hsa:84448
HsTF000008	Actin-binding LIM protein 3	O94929	beta-	ABLIM3	22885	http://www.genome.jp/dbget-bin/www_bget?hsa:22885
HsTF000009	Activator of basal transcription 1	Q9ULW3	beta-	ABT1	29777	http://www.genome.jp/dbget-bin/www_bget?hsa:29777
HsTF000010	Ankyrin repeat and BTB/POZ domain-containing protein 1	Q969K4	beta-	ABTB1	80325	http://www.genome.jp/dbget-bin/www_bget?hsa:80325
HsTF000011	Ankyrin repeat and BTB/POZ domain-containing protein 2	Q8N961	beta-	ABTB2	25841	http://www.genome.jp/dbget-bin/www_bget?hsa:25841
HsTF000012	Acyl-CoA-binding domain-containing protein 6	Q9BR61	beta-	ACBD6	84320	http://www.genome.jp/dbget-bin/www_bget?hsa:84320
HsTF000013	APOBEC1 complementation factor	Q9NQ94	beta-	ACF	29974	http://www.genome.jp/dbget-bin/www_bget?hsa:29974
HsTF000014	Apoptotic chromatin condensation inducer in the nucleus	Q9UKV3	beta-	ACIN1	22985	http://www.genome.jp/dbget-bin/www_bget?hsa:22985
HsTF000015	"""Prostate, ovary, testis-expressed protein on chromosome 22"""	Q6S545	beta-	ACTBL1	23784	http://www.genome.jp/dbget-bin/www_bget?hsa:23784
HsTF000016	Adenosine deaminase domain-containing protein 2	Q8NCV1	beta-	ADAD2	161931	http://www.genome.jp/dbget-bin/www_bget?hsa:161931
HsTF000017	ADAMTS-17 precursor	Q8TE56	Zinc-	ADAMTS17	170691	http://www.genome.jp/dbget-bin/www_bget?hsa:170691
HsTF000018	ADAMTS-19 precursor	Q8TE59	Zinc-	ADAMTS19	171019	http://www.genome.jp/dbget-bin/www_bget?hsa:171019
HsTF000019	Double-stranded RNA-specific adenosine deaminase	P55265	Helix	ADAR	103	http://www.genome.jp/dbget-bin/www_bget?hsa:103
HsTF000020	Double-stranded RNA-specific editase 1	P78563	beta-	ADARB1	104	http://www.genome.jp/dbget-bin/www_bget?hsa:104
HsTF000021	Double-stranded RNA-specific editase B2	Q9NS39	beta-	ADARB2	105	http://www.genome.jp/dbget-bin/www_bget?hsa:105
HsTF000022	Pituitary adenylate cyclase-activating polypeptide precursor	P18509	beta-	ADCYAP1	116	http://www.genome.jp/dbget-bin/www_bget?hsa:116
HsTF000023	Activity-dependent neuroprotector	Q9H2P0	Helix	ADNP	23394	http://www.genome.jp/dbget-bin/www_bget?hsa:23394
HsTF000024	ADNP homeobox protein 2	Q6IQ32	Helix	ADNP2	22850	http://www.genome.jp/dbget-bin/www_bget?hsa:22850
HsTF000025	Actin filament-associated protein 1-like 1	Q8TED9	beta-	AFAP1L1	134265	http://www.genome.jp/dbget-bin/www_bget?hsa:134265
